NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,5,27,3,23,0.2789234,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,5,27,3,23,0.501185,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,5,27,3,23,0.5737026,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,5,27,3,23,0.6186138,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,5,27,3,23,0.6753972,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,5,27,3,23,0.7321929,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,5,27,3,23,0.7992755,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,5,27,3,23,0.852838,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,5,27,3,23,0.938737,0
0,1,2,1,0,0.6075547,0.3085001,8.307555,15,3,3,27,27,27,1,2,5,27,3,23,1.050069,1
0,1,2,2,0,1.107554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,5,27,3,23,1.141748,1
0,1,2,2,0,1.907554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,5,27,3,23,1.319152,1
0,1,2,2,0,2.207553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,5,27,3,23,1.376831,1
0,1,2,2,0,2.407553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,5,27,3,23,1.416861,1
0,1,2,2,0,3.007552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,5,27,3,23,1.538186,1
0,1,2,2,0,3.407552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,5,27,3,23,1.609684,1
0,1,2,2,0,3.907552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,5,27,3,23,1.701077,1
0,1,2,2,0,4.407551,8.3085,0.3085001,15,3,3,27,27,27,1,2,5,27,3,23,1.801452,1
1,1,2,1,19.70756,4.90755,0.3085001,0.3075551,15,3,3,27,27,27,1,2,5,27,3,23,1.903793,1
1,1,2,1,19.20756,5.40755,0.3085001,0.3075551,15,3,3,27,27,27,1,2,5,27,3,23,2.002162,1
1,1,2,1,18.70756,5.907552,0.3085001,0.3075551,15,3,3,26.5,27,27.3,1,2,5,27,3,23,2.101886,1
1,1,2,1,18.20756,6.407555,0.3085001,0.3075551,15,3,3,26,27,27.3,1,2,5,27,3,23,2.200748,1
1,1,2,1,17.70755,6.907556,0.3085,0.3075551,15,3,3,25.49999,27,27.3,1,2,5,27,3,23,2.302487,1
1,1,2,1,17.20755,7.407558,0.3085001,0.3075551,15,3,3,24.99999,27,27.3,1,2,5,27,3,23,2.406327,1
1,1,2,1,16.70755,7.907561,0.3085001,0.3075551,15,3,3,24.49999,27,27.3,1,2,5,27,3,23,2.502182,1
1,1,2,2,16.20755,8.407562,0.3085001,0.3085001,15,3,3,23.99999,27,27.3,1,2,5,27,3,23,2.603019,1
1,1,2,2,15.70755,8.907564,0.3085001,0.3085001,15,3,3,23.49999,27,27.3,1,2,5,27,3,23,2.701532,1
1,1,2,2,15.20754,9.407566,0.3085001,0.3085001,15,3,3,22.99998,27,27.3,1,2,5,27,3,23,2.804202,1
1,1,2,2,14.70754,9.907568,0.3085001,0.3085001,15,3,3,22.49998,27,27.3,1,2,5,27,3,23,2.902018,1
1,1,2,1,14.20754,10.40757,0.3085001,8.307555,15,3,3,21.99998,27,27.3,1,2,5,27,3,23,3.0054,1
1,1,2,2,13.70754,10.90757,0.3085001,0.3085001,15,3,3,21.49998,27,27.3,1,2,5,27,3,23,3.10305,1
1,1,2,2,13.20754,11.40757,0.3085001,0.3085001,15,3,3,20.99998,27,27.3,1,2,5,27,3,23,3.210331,1
1,1,2,2,12.70753,11.90758,0.3085001,0.3085001,15,3,3,20.49998,27,27.3,1,2,5,27,3,23,3.301433,1
1,1,2,2,12.20753,12.40758,0.3085001,0.3085001,15,3,3,19.99997,27,27.3,1,2,5,27,3,23,3.403652,1
1,1,2,2,11.60753,13.00758,0.3085001,0.3085001,15,3,3,19.39997,27,27.3,1,2,5,27,3,23,3.521871,1
1,1,2,2,11.20753,13.40758,0.3085001,0.3085001,15,3,3,18.99997,27,27.3,1,2,5,27,3,23,3.605229,1
