NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,17,27,7,21,0.1044244,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,17,27,7,21,0.2047544,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,17,27,7,21,0.3052103,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,17,27,7,21,0.4004318,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,17,27,7,21,0.5007408,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,17,27,7,21,0.604431,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,17,27,7,21,0.7045795,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,17,27,7,21,0.8020951,0
0,1,2,1,0,0.5075549,0.3085001,8.307555,15,3,27,27,3,27,1,2,17,27,7,21,0.9053448,1
0,1,2,2,0,1.007554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,17,27,7,21,1.002769,1
0,1,2,2,0,1.507554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,17,27,7,21,1.10403,1
0,1,2,2,0,2.007554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,17,27,7,21,1.205386,1
0,1,2,2,0,2.507553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,17,27,7,21,1.300793,1
0,1,2,2,0,3.007552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,17,27,7,21,1.406815,1
0,1,2,2,0,3.507552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,17,27,7,21,1.501786,1
0,1,2,2,0,4.007552,8.3085,0.3085001,15,3,27,27,3,27,1,2,17,27,7,21,1.601156,1
0,1,2,2,0,4.507551,8.3085,0.3085001,15,3,27,27,3,27,1,2,17,27,7,21,1.702739,1
1,1,2,1,19.60756,5.00755,0.3085001,0.3075551,15,3,27,27,3,27,1,2,17,27,7,21,1.801412,1
1,1,2,1,19.10756,5.507551,0.3085001,0.3075551,15,3,27,27,3,27,1,2,17,27,7,21,1.903339,1
1,1,2,1,18.60756,6.007553,0.3085001,0.3075551,15,3,27,27,3,27,1,2,17,27,7,21,2.002236,1
1,1,2,1,18.10756,6.507555,0.3085001,0.3075551,15,3,27,27,3.5,27,1,2,17,27,7,21,2.105067,1
1,1,2,1,17.60755,7.007556,0.3085001,0.3075551,15,3,27,27,3.999999,27,1,2,17,27,7,21,2.2021,1
1,1,2,1,17.10755,7.507559,0.3085001,0.3075551,15,3,27,27,4.499999,27,1,2,17,27,7,21,2.306397,1
1,1,2,2,16.60755,8.007561,0.3085001,0.3085001,15,3,27,27,4.999998,27,1,2,17,27,7,21,2.400132,1
1,1,2,2,16.10755,8.507563,0.3085001,0.3085001,15,3,27,27,5.499998,27,1,2,17,27,7,21,2.500381,1
1,1,2,2,15.60755,9.007565,0.3085001,0.3085001,15,3,27,27,5.999997,27,1,2,17,27,7,21,2.60397,1
1,1,2,2,15.10754,9.507566,0.3085001,0.3085001,15,3,27,27,6.499997,27,1,2,17,27,7,21,2.70351,1
1,1,2,1,14.60754,10.00757,0.3085001,8.307554,15,3,27,27,6.999996,27,1,2,17,27,7,21,2.802369,1
1,1,2,1,14.10754,10.50757,0.3085001,8.307554,15,3,27,27,7.499996,27,1,2,17,27,7,21,2.901908,1
5,1,2,2,12.112,11.00757,0.3085001,0.3085001,15,3,27,27,7.999995,27,1,2,17,27,7,21,3.002228,1
5,1,2,2,11.61199,11.50757,0.3085001,0.3085001,15,3,27,27,8.499997,27,1,2,17,27,7,21,3.105496,1
5,1,2,2,11.11199,12.00758,0.3085001,0.3085001,15,3,27,27,8.999999,27,1,2,17,27,7,21,3.203081,1
1,1,2,2,12.10753,12.50758,0.3085001,0.3085001,15,3,27,27,9.500001,27,1,2,17,27,7,21,3.300587,1
6,1,2,2,9.957726,13.00758,0.3085001,0.3085001,15,3,27,27,10,27,1,2,17,27,7,21,3.401743,1
6,1,2,2,9.457725,13.50758,0.3085001,0.3085001,15,3,27,27,10.5,27,1,2,17,27,7,21,3.50222,1
6,1,1,1,8.957723,14.00758,2.307555,8.307555,15,3,27,27,11.00001,27,1,2,17,27,7,21,3.602504,1
6,1,1,1,8.957723,14.00758,2.307555,8.307555,15,3,27,27,11.50001,27,1,2,17,27,7,21,3.704588,0
6,1,1,1,8.957723,14.00758,2.307555,8.307555,15,3,27,27,12.00001,27,1,2,17,27,7,21,3.806394,4
2,2,1,1,0.6084726,0.008527515,2.807557,7.807554,15,3,27,27,12.50001,27,1,2,17,27,7,21,3.905511,4
2,2,1,1,0.6084726,0.008527515,3.307559,7.307551,15,3,27,27,13.00001,27,1,2,17,27,7,21,4.003523,4
2,2,1,1,0.6084726,0.008527515,3.807561,6.807549,15,3,27,27,13.50002,27,1,2,17,27,7,21,4.101776,4
2,2,1,1,0.6084726,0.008527515,4.307562,6.307547,15,3,27,27,14.00002,27,1,2,17,27,7,21,4.20364,4
2,2,1,1,0.6084726,0.008527515,4.807565,5.807545,15,3,27,27,14.50002,27,1,2,17,27,7,21,4.304518,4
2,2,1,1,0.6084726,0.008527515,5.307566,5.307544,15,3,27,27,15.00002,27,1,2,17,27,7,21,4.402682,4
2,2,1,1,0.6084726,0.008527515,5.807566,4.807544,15,3,27,27,15.50002,27,1,2,17,27,7,21,4.500671,4
1,2,1,1,10.60753,0.008527515,6.307565,4.307545,15,3,27,27,16.00002,27,1,2,100,100,7,21,4.606054,4
2,2,1,1,0.6084726,0.008527515,6.807565,3.807546,15,3,27,27,16.50003,27,1,2,100,100,7,21,4.702469,4
2,2,1,1,0.6084726,0.008527515,7.307564,3.307546,15,3,27,27,17.00003,27,1,2,100,100,7,21,4.802192,4
2,2,1,1,0.6084726,0.008527515,7.807564,2.807547,15,3,27,27,17.50003,27,1,2,100,100,7,21,4.902359,4
2,2,1,1,0.6084726,4.008528,8.007564,2.607547,15,3,27,27,18.00003,27,1,2,100,100,7,21,5.002458,0
2,2,1,1,0.6084726,0.008527515,7.907563,2.707547,15,3,27,27,18.50003,27,1,2,100,100,7,21,5.102453,3
2,2,1,1,0.6084726,0.008527515,7.407564,3.207546,15,3,27,27,19.00004,27,1,2,100,100,7,21,5.20226,3
2,2,1,1,0.6084726,0.008527515,6.907565,3.707546,15,3,27,27,19.50004,27,1,2,100,100,7,21,5.301055,3
2,2,1,1,0.6084726,0.008527515,6.707564,3.907545,15,3,27,27,20.00004,27,1,2,100,100,7,21,5.401831,3
2,2,1,1,0.3084715,0.3085287,6.707564,3.907545,15,3,27,27,20.50004,27,1,2,100,100,7,21,5.505564,1
2,2,1,1,0.008470294,0.6085299,6.707564,3.907545,15,3,27,27,21.00004,27,1,2,100,100,7,21,5.603759,1
2,2,1,1,0.008470294,0.6085299,6.707564,3.907545,15,3,27,27,21.50005,27,1,2,100,100,7,21,5.704998,3
