NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,27,19,17,27,0.1018611,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,27,19,17,27,0.2039202,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,27,19,17,27,0.300464,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,27,19,17,27,0.4036618,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,27,19,17,27,0.5002268,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,27,19,17,27,0.6011258,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,27,19,17,27,0.7007202,0
0,1,2,1,0,0.6075547,0.3085001,8.307555,15,3,27,27,3,27,1,2,27,19,17,27,0.8012176,1
0,1,2,2,0,1.107554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,27,19,17,27,0.9008983,1
0,1,2,2,0,1.707554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,27,19,17,27,1.004408,1
0,1,2,2,0,2.107553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,27,19,17,27,1.101132,1
0,1,2,2,0,2.607553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,27,19,17,27,1.20136,1
0,1,2,2,0,3.107553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,27,19,17,27,1.300391,1
0,1,2,2,0,3.707552,0.3085001,0.3085,15,3,27,27,3,27,1,2,27,19,17,27,1.403795,1
0,1,2,2,0,4.107552,8.3085,0.3085001,15,3,27,27,3,27,1,2,27,19,17,27,1.501819,1
1,1,2,1,19.90756,4.707551,0.3085001,0.3075551,15,3,27,27,3,27,1,2,27,19,17,27,1.607984,1
1,1,2,1,19.40756,5.207551,0.3085001,0.3075551,15,3,27,27,3,27,1,2,27,19,17,27,1.705005,1
1,1,2,1,18.90756,5.707551,0.3085001,0.3075551,15,3,27,27,3,27,1,2,27,19,17,27,1.805013,1
1,1,2,1,18.50756,6.107553,0.3085001,0.3075551,15,3,27,27,3,27,1,2,27,19,17,27,1.900013,1
1,1,2,1,18.00756,6.607555,0.3085001,0.3075551,15,3,27,27,3,27,1,2,27,19,17,27,2.00122,1
1,1,2,1,17.50755,7.107557,0.3085001,0.3075551,15,3,27,26.5,3,27,1,2,27,19,17,27,2.10231,1
1,1,2,1,16.90755,7.70756,0.3085001,0.3075551,15,3,27,25.9,3,27,1,2,27,19,17,27,2.205737,1
1,1,2,2,16.40755,8.207561,0.3085001,0.3085001,15,3,27,25.39999,3,27,1,2,27,19,17,27,2.30551,1
1,1,2,2,16.00755,8.607563,0.3085001,0.3085001,15,3,27,24.99999,3,27,1,2,27,19,17,27,2.401236,1
1,1,2,2,15.40755,9.207565,0.3085001,0.3085001,15,3,27,24.39999,3,27,1,2,27,19,17,27,2.508958,1
1,1,2,2,15.00754,9.607568,0.3085001,0.3085001,15,3,27,23.99999,3,27,1,2,27,19,17,27,2.600069,1
1,1,2,1,14.50754,10.10757,0.3085001,8.307555,15,3,27,23.49999,3,27,1,2,27,19,17,27,2.701995,1
1,1,2,1,14.00754,10.60757,0.3085001,8.307555,15,3,27,22.99998,3,27,1,2,27,19,17,27,2.800524,1
1,1,2,2,13.40754,11.20757,0.3085001,0.3085001,15,3,27,22.39998,3,27,1,2,27,19,17,27,2.903926,1
1,1,2,2,12.90753,11.70757,0.3085001,0.3085,15,3,27,21.89998,3,27,1,2,27,19,17,27,3.004165,1
1,1,2,2,12.50753,12.10758,0.3085001,0.3085001,15,3,27,21.49998,3,27,1,2,27,19,17,27,3.102264,1
1,1,2,2,11.90753,12.70758,0.3085001,0.3085001,15,3,27,20.89998,3,27,1,2,27,19,17,27,3.2054,1
1,1,2,2,11.50753,13.10758,0.3085001,0.3085001,15,3,27,20.49998,3,27,1,2,27,19,17,27,3.301103,1
1,1,2,2,11.00753,13.60758,0.3085001,0.3085001,15,3,27,19.99997,3,27,1,2,100,100,17,27,3.40049,1
1,1,1,1,10.50753,14.10758,2.307555,8.307555,15,3,27,19.49997,3,27,1,2,100,100,17,27,3.501957,1
1,1,2,2,9.907525,14.70759,0.3085001,0.3085001,15,3,27,18.89997,3,27,1,2,100,100,17,27,3.60454,1
1,1,2,2,9.707524,14.90759,0.3085001,0.3085001,15,3,27,18.49997,3,27,1,2,100,100,17,27,3.700457,0
1,1,2,2,9.707524,14.90759,0.3085001,0.3085001,15,3,27,17.99997,3,27,1,2,100,100,17,27,3.801103,0
1,1,1,1,10.00753,14.60758,2.307555,8.307555,15,3,27,17.49996,3,27,1,2,100,100,17,27,3.901744,2
1,1,1,1,10.50753,14.10758,2.307555,8.307555,15,3,27,16.89996,3,27,1,2,100,100,17,27,4.006338,0
1,1,1,1,10.50753,14.10758,2.307555,8.307555,15,3,27,16.89996,3.4,27,1,2,100,100,17,27,4.102869,0
1,1,1,1,10.50753,14.10758,2.307555,8.307555,15,3,27,16.89996,3.999999,27,1,2,100,100,17,27,4.205088,0
1,1,1,1,10.50753,14.10758,2.407556,8.207555,15,3,27,16.89996,4.399999,27,1,2,100,100,17,27,4.302125,4
